field1,field2,field3
5740,3985,xNt
8502,902,Rg
6964,4642,uJrWD
483,1536,KOHJs
9526,9278,SH
4634,826,zNCs
4022,4019,RgpRT
9637,97,lXXBC
1014,5999,QxW
1178,8347,QCNW
7200,9743,xfulR
1122,1367,JydJu
6526,4533,jVVv
3969,8123,rmJe
8303,8101,UT
3842,8576,Pc
6925,1198,BTzHI
2381,2781,zDdb
7135,6552,pyKQO
9580,6853,XK
9004,4117,lga
571,1233,QIS
6411,5037,rQv
1090,7039,UQRAS
6995,160,JYnl
4563,4531,"qK "
8696,2666,WG
7340,4447,cDX
9122,6870,lqnI
5757,2816,fiJ f
7846,5819,ZBTkx
6987,5869,lU
9099,922,xdoy
8198,2280,RnRB
3338,7589,wHj
8973,1411,YgE
1037,6796,eecZ
5026,6536,eZ
4062,7269,lR
7733,2241,JwapK
2279,1414,Mc
8743,3837,dC
7640,6775,PPvLU
1675,7969,qeARu
4493,6456,Skd
1800,8768,zj
8858,3340,OPg
4700,4848,hP
5202,7088,SlVQY
4253,529,HizA
427,3520,lR ZK
5939,1646,mhXyR
8315,2475,xp
5589,1956,RkC
4141,7047,MA
2149,2075,tU
5235,1301,MGep
1654,7259," Z"
3107,3686," XGK"
5961,8027,WA
3602,7254," Ani"
211,5689,aZ
5746,9040,SuPw
689,1195,khkA
7139,9901,YlZ
832,2990,ID
7999,2520,RJ
9214,9558,LEc
2265,1885,Nlk
2803,316,Kdk
3680,9765,qd
698,4471,Pp
2283,6558,dA
1403,7964,dB
3424,8545,hF
4209,3028,"aks "
7973,5980,fHh
1751,1817,hZzZ
3909,8633,mlz
9839,1998,tOi
8366,6370,vr
3997,3365,nDL
6761,6943,jV
8742,8236,"i "
5952,3964,Gamwp
8950,7187,Rbm
9604,7622,vbH
3922,8388,rcl
7315,7226,NaE
5106,3124,upCa
6505,5300,uJ
6631,1548,Xa
4896,3669,YveEH
3292,3439,AMp
8451,2356,FhRi
376,8257,UwLi
9148,3894,Pkb T
6686,8465,cfMwq
2910,3104,YuBV
2039,3571,lWd
5877,4395," DKL"
799,2285,cS
9463,622,xh
9271,6731,okM
3988,6617,eykoo
5442,7853,Ng
9095,1029,DOOOb
9157,6090,Xo
6106,7968,lk
4177,8123,BIgjU
8642,4265,kH
9996,8660,uyNw
1248,5049,CcfH
29,9851,tX
682,7440,eNn
7120,7595,zic
9971,4458,sW
3324,4910,FJP
9652,7154,dSO
3896,6855,Lo
6,8385,UZ
2045,2488,qmp
3857,9771,Ov
8971,7705,nvA u
6294,8864,xq eR
4702,8877,rp
219,6713,DYse
376,1528,Bn
6447,8920,aKX
29,5758,utY
8003,1767,Zvqe
4882,2882,Sb
6105,2880,Ll
3626,148,aH
1927,8131,MA
7603,4093,oeCG
9087,4304,BT
3019,1587,bU
7349,5844,zB
7289,4480,Fz
5851,766,njVQa
2222,1908,REwTQ
1971,1626,sTrB
4664,9156,CSY
7297,4792,vmU
5508,4438," n"
6713,4910,fyou
4134,5158,TSn
6294,1094,ruDb
571,4198,rP
4196,5527,PfCY
7570,6613,cj
2950,3843,tBtsf
9844,1157,ZWqV
6123,4335,Vr TU
4453,7594,IjfC
7733,2303,fY
4870,7268,pVjF
9607,4213,DROX
5344,7678,uik
2614,8677,Wx
9824,6848,lrNd
6824,977,dUx
2378,3684,Px
4702,8014,lON
8717,4519,"gzUv "
7057,525,aw
5338,3642,ngT
5043,1398,zRKC
203,485,ue
5064,4287,UPIA
9957,923," C"
8188,8556,MD
9746,3006,vSgN
9091,6908,gSF
7340,9436,jBGDZ
1695,5778,wzqT
7311,786,FEqS
378,5693,yylX
7960,8446,tB
6989,5448,mmJJc
3135,4945,qB
1559,9435,ME
2768,665,ZdX
4317,3484,BWLH
6083,2404,XuKEo
5875,4612,Xu
8659,4233,vKv
4727,9694,yuA
6619,1619,WUjvX
3442,4952,CRG
7640,4883,LeD
539,1894,QPFdf
6013,3388,kaDTR
6898,2844,IRP
4529,1802,KKk
6059,7486,zYhnC
142,5958,vHLnT
5316,2,ZHKXi
4518,6250,rmtZT
7445,7313,UwO
905,763,jxmg
5697,7314,nkN
1978,9987,OdtR
8763,9598,bC
9989,4053,pUVR
2767,205,FG
3745,9443,SkWQ
6383,6200,hmz
7786,538,CM
2855,8467,BOuY
3003,2316,Mvgn
4517,8267,mmLxE
1239,38,YtCfL
7608,8295,JcFjf
6469,3062,VzTqQ
5506,7088,jy
2346,4147,l xt
6361,7104,xH
6521,6857,pgruf
4982,1859,eL
9333,6922,fJsF
837,3292,GvXU
7443,8576,ZxK
4818,1558,QDx
581,4071,My
9132,5692,W tWk
8498,9974,HFK
9144,5158,pPb
3940,9466,MzWs
892,8132,HeEn
5694,8836,qOZCh
5697,3775,caZ
1269,9645,Smmmq
2485,9078,DkBb
8045,3362,siU
9837,9468,KZX
2616,8737,Hg
1579,8631,Yo
6614,7577,lQQi
9433,1162,pcR
824,6759,kM
2674,2291,eN
4108,264,UJNj
8071,4528,xXgJK
9124,7275,zS
3720,9830,wC
7921,5532,XIbbG
6005,2,QFi
6654,9005,bqx
749,598,wT
5056,7170,lvORy
2415,2160," tm"
2717,2511,ezN
3849,6483,yyyC
3110,5523,euz
2646,1714,ZwCmu
7799,7657,Hn
840,289,ff
3274,3648,"HN "
8737,7359,o f
2558,9678,ZC
4924,362,HQ
3514,8973,x nR
2411,3962,pLb
5538,1541,fy
3830,51,VI
7428,6871,oF
7558,9782,bU
3474,7797,"OJk "
5961,9003,xWVas
2575,895,mBw
2575,1378,vhX
8213,3924,UjmD
8712,9918,ypZO
7968,8821,dh
270,304,CLQn
8477,1429,Ea
2318,7353,fWAMy
1248,8568,qevS
9456,5664,sPvQ
4298,5430,jo
4984,1048,pPD
5583,4633,yVLkd
4285,3961,ZSA
9292,9299,Qolbz
4731,9609,mlffE
1834,2410,Nzf
8655,5225,EWe
3473,471,FWdy
1094,4222,KwD
4215,4967,ZBrpA
9049,9500,"xzOX "
3758,3932,oI
6958,906,kPe
3722,610,JQjE
8374,7073,Wg
7082,3940,nfy
7268,7080,wP
8738,6938,gAc
8746,8700,ENDP
3992,7983,tTz
7207,3913,WF
4901,2676,AM
4444,3657,Rt
6720,4446,mmT
2040,9287,Uc
534,4945,Zgan
5696,9918,nyX
5954,7009,IDF
5054,7175,uy
3760,8328,aLer
6868,6905,zPvOX
329,1721,Vbc
6891,4157,Dz
4847,7450,gK
3901,4679," xjIS"
6874,87,vMvJs
2154,1761,Gx
2966,9907,aydsQ
3755,316,ZLYm
7481,4771,QB
3032,9763,LL
5889,1854,MC
3881,245,Psqk
4575,4569,MyXFB
6238,1243,VOo
1515,273,xr
3420,8748,zpz
9436,3733,zPe
8549,4952,QcK
6955,8332,AZqF
4524,2305,AiW
132,1017,wR
7527,2736,VWT
9511,2795,Fip
2051,8884,Ne
2230,2096,GdGy
1511,6471,NHvF
6058,8075,CHu
4193,1168,vf
9848,3790,lfY
1687,4295,"Af "
9197,5173,VekFC
9593,8919,tZzQS
1735,407,KM
3612,8615,ra
6715,6866,tACP
725,5393,uSfA
8072,3856,KzM
7580,212,M jSb
3517,3213,cz
1707,5190,aPew
2588,4790,gkxB
6734,5886,HohQg
1154,466,NK
3866,5746," IMw"
3266,7215,dUV
226,1790,Su
7956,4466,HtZm
3232,1070,syIWD
8328,7372,JzCWy
9692,2171,jN
6501,5284,Jpmx
4883,6461,TpyJf
9508,8759,yFDwp
9229,372,Up
3385,1621,gacBg
4391,4447,hMSIA
7757,8353,YNpt
3316,3445,uhYzt
6309,6598,Hr
7702,9099,zuUaf
9572,8242,Js
6279,3780,azrEG
5930,5136,nKebB
7795,5454,XctMB
13,8662,gCJS
5917,8260,up
3382,8326,KJCf
8653,6022,PU
722,5137,xPGKB
1794,7016,ZLwW
6390,7892,hT
4975,7243,eNIxA
2202,6414,OuuNY
5498,2617,FMDE
5971,1601,kD
5582,5969,VY
7822,6634,ujxur
8357,9562,pCh
2824,1386,"To "
2116,1717,Sv
5503,5659,IO
3216,3902,wsyc
6340,542,Md
196,1528," FShu"
5301,5756,EV
3244,844,pwR
9605,2878,VjH
7241,4591,bJ
6334,2917,xI
8586,735,UIg
7405,4249,gZV
8480,8356,Jrt
117,1451,zmeEh
326,7436,AwRd
6753,7858,Ys
8860,3,jmk
2240,569,AahIJ
9246,2131,Gl
4943,7362,fH
9097,6128,fBgL
7573,6124,nlm
6115,3969,dl
4686,9442,Uq
9693,5003,lYTfD
8631,8490,bc
3063,2578,vgYn
7942,5925,fdt
8561,7337,bT
5300,1030,hmtMp
3887,4616,XWKk
7628,8396,z Fg
3745,1317,kIxf
2804,2874,qYy
4062,8127,TFYO
2903,2016,mb
7999,3672,wZSZ
6375,6760,zR
750,2603,YbLv
4820,4623,Loh
7026,6283,yE Qe
